timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,swap_out,io_sent
1760543490,2025-10-15 22:51:30,3768146.1333333333,223352.26666666666,9966761.68527971,,129.5,877829.6,0.0,4257.333333333333
1760543520,2025-10-15 22:52:00,10945851.733333332,229459.2,9998509.628279975,,149.6,847490.4,0.0,613.8666666666667
1760543550,2025-10-15 22:52:30,10943060.0,224454.66666666666,10001849.446748804,,129.6,856629.6,0.0,517.8666666666667
1760543580,2025-10-15 22:53:00,10941853.6,224827.2,9998839.226119783,,122.7,862526.4,0.0,561.3333333333334
1760543610,2025-10-15 22:53:30,10942122.4,226272.26666666666,10000847.477105455,,119.9,862735.2,0.0,693.8666666666667
1760543640,2025-10-15 22:54:00,10943516.533333333,226264.26666666666,9999508.97324228,,118.5,861775.2,0.0,617.8666666666667
1760543670,2025-10-15 22:54:30,10944534.4,236106.4,9998554.853184659,,158.5,857761.6,0.0,537.8666666666667
1760543700,2025-10-15 22:55:00,10946708.533333333,234371.46666666667,9999508.185227267,,194.0,853903.2,0.0,591.2
1760543730,2025-10-15 22:55:30,10941103.733333332,227637.06666666668,9999557.113438124,,156.5,855955.2,0.0,524.8
1760543760,2025-10-15 22:56:00,10936569.6,227910.13333333333,9998235.163226554,,134.1,856880.0,0.0,530.4
1760543790,2025-10-15 22:56:30,10949589.333333334,228108.53333333333,9998524.40328913,,120.1,857928.8,0.0,521.8666666666667
1760543820,2025-10-15 22:57:00,10943718.133333333,234750.66666666666,9999549.589736901,,112.3,858709.6,0.0,405.06666666666666
1760543850,2025-10-15 22:57:30,10941721.866666667,228470.13333333333,9999506.19009761,,107.0,858709.6,0.0,507.73333333333335
1760543880,2025-10-15 22:58:00,10941572.266666668,228270.4,9997872.302949293,,107.7,858082.4,0.0,576.5333333333333
1760543910,2025-10-15 22:58:30,10940154.133333333,229301.6,9999535.100011086,,113.2,858082.4,0.0,886.4
1760543940,2025-10-15 22:59:00,10575818.222222222,221771.73333333334,9998513.683566561,,117.9,856776.8,0.0,565.0666666666667
1760543970,2025-10-15 22:59:30,10945578.311111113,236793.77777777778,9998887.227537164,,114.2,855379.2,0.0,523.4666666666667
1760544000,2025-10-15 23:00:00,10945404.533333333,237226.84444444446,10000189.890343515,,165.3,854718.4,0.0,544.0
1760544030,2025-10-15 23:00:30,10941887.377777778,229548.0888888889,9998867.396495927,,141.4,852652.8,0.0,417.6
1760544060,2025-10-15 23:01:00,10941658.755555553,229508.88888888888,9999515.51171272,,131.3,851642.4,0.0,526.4
1760544090,2025-10-15 23:01:30,10942416.0,229287.55555555556,9999206.82415108,,118.5,855596.0,0.0,578.6666666666666
1760544120,2025-10-15 23:02:00,10933974.311111111,236217.77777777778,9991989.617591364,,114.9,851755.2,0.0,513.0666666666667
1760544150,2025-10-15 23:02:30,10943998.488888888,230735.73333333334,10000188.248550827,,118.1,850070.4,0.0,442.93333333333334
1760544180,2025-10-15 23:03:00,10941685.6,229309.24444444443,9999184.061379721,,129.8,849454.4,0.0,574.9333333333333
1760544210,2025-10-15 23:03:30,10941872.977777777,228811.8222222222,9997883.826303916,,131.6,849499.2,0.0,1065.6
1760544240,2025-10-15 23:04:00,10942673.777777778,229373.42222222223,10000473.988594301,,134.7,854300.0,0.0,284.53333333333336
1760544270,2025-10-15 23:04:30,10943851.28888889,235438.84444444446,9999234.284543965,,133.0,853849.6,0.0,510.1333333333333
1760544300,2025-10-15 23:05:00,10947389.244444443,240690.75555555557,10000498.70360332,,203.4,851184.8,0.0,558.4
1760544330,2025-10-15 23:05:30,10940808.26666667,229315.20000000004,9999186.461472962,,220.3,850238.4,0.0,464.8
